id;code;name;user_default;jsonval
1;New York tangible Mississippi;Frozen bus;true;Idaho compress Avon
2;system Small;Intelligent Outdoors;true;knowledge base Buckinghamshire
3;Concrete Investment Account Saint Lucia;User-centric;false;neutral Salad
4;Auto Loan Account modular Refined;digital maroon;true;Ghana back-end National
5;Direct;Profit-focused;false;copying
6;ability Hat Iraq;magenta Concrete;false;Directives
7;sky blue;Kenyan Shilling robust;true;Functionality
8;Moroccan Dirham;capability zero tolerance Computers;true;Berkshire Small Plastic Pants Investor
9;Canadian Dollar;Berkshire Designer;false;Bulgarian Lev navigate
10;Re-contextualized;web-enabled invoice withdrawal;true;Licensed hacking installation
